sample_id,arch_code,sample_node,energy
1,"[0, 1, 0, 1, 1, 0, 2, 5, 1, 2, 3, 3]",random,-1.2095862025421709
2,"[1, 1, 1, 0, 0, 0, 3, 0, 0, 5, 0, 4]",random,-0.3191941923637234
3,"[1, 1, 1, 1, 1, 0, 4, 3, 0, 2, 1, 3]",random,-0.7874531311632099
4,"[1, 1, 1, 1, 0, 0, 4, 2, 0, 4, 1, 2]",random,-1.1283933856345436
5,"[1, 0, 1, 0, 1, 1, 2, 5, 3, 0, 1, 1]",random,-0.6589499254806073
6,"[0, 1, 1, 1, 0, 1, 5, 4, 3, 2, 5, 4]",random,-1.0104109718592036
7,"[0, 0, 1, 0, 0, 1, 1, 5, 5, 4, 0, 3]",random,-0.7597771818367273
8,"[0, 1, 1, 1, 1, 0, 2, 3, 0, 1, 5, 1]",random,-1.144700727256995
9,"[0, 1, 1, 1, 1, 1, 4, 0, 1, 0, 1, 0]",random,-0.6264847074495274
10,"[1, 0, 1, 1, 1, 1, 4, 4, 4, 2, 1, 0]",random,-1.132335252889704
11,"[1, 0, 1, 1, 1, 1, 3, 5, 5, 2, 2, 3]",random,-1.0437368194775394
12,"[0, 0, 1, 1, 1, 1, 5, 3, 5, 4, 2, 2]",random,-0.056265147825720244
13,"[0, 1, 0, 1, 0, 0, 5, 5, 1, 1, 3, 1]",random,-1.2434819983334224
14,"[0, 1, 0, 0, 0, 1, 4, 3, 5, 1, 2, 0]",random,-0.7804615274463682
15,"[0, 0, 1, 1, 1, 1, 4, 3, 5, 1, 3, 1]",random,-0.42428482203960644
16,"[1, 1, 0, 0, 1, 0, 4, 4, 4, 5, 0, 1]",random,-0.8175677758029638
17,"[0, 0, 0, 0, 0, 1, 3, 0, 5, 0, 3, 1]",random,-0.7220795319550585
18,"[1, 0, 0, 1, 0, 1, 2, 2, 5, 4, 2, 3]",random,-0.629783944053217
19,"[0, 0, 0, 1, 1, 0, 1, 4, 3, 2, 1, 2]",random,-1.1586444172971364
20,"[1, 0, 1, 0, 0, 1, 1, 3, 5, 2, 3, 3]",random,-0.46975153686512555
21,"[1, 0, 1, 0, 0, 0, 1, 0, 5, 4, 3, 2]",random,-0.6900584613855487
22,"[1, 0, 0, 0, 1, 0, 4, 2, 5, 5, 1, 2]",random,-0.6967406611361837
23,"[1, 0, 1, 0, 1, 1, 1, 3, 0, 4, 3, 1]",random,-0.7290724852283494
24,"[1, 0, 1, 1, 0, 0, 3, 5, 4, 5, 3, 0]",random,-0.4415758630377779
25,"[0, 1, 0, 1, 0, 1, 5, 5, 1, 2, 5, 1]",random,-0.5440939881586088
26,"[1, 1, 0, 1, 0, 0, 4, 0, 1, 0, 3, 0]",random,-0.8660578313852267
27,"[1, 0, 0, 0, 0, 1, 1, 3, 3, 4, 0, 3]",random,-0.15643889277473724
28,"[0, 0, 0, 0, 1, 0, 2, 5, 0, 5, 3, 1]",random,-0.5881993613519042
29,"[1, 1, 0, 1, 1, 1, 5, 3, 4, 4, 2, 3]",random,-0.545567627457803
30,"[1, 1, 1, 1, 0, 1, 1, 2, 0, 5, 2, 4]",random,-1.2816816517656198
31,"[0, 1, 1, 1, 0, 1, 5, 3, 4, 0, 0, 4]",random,-1.2514720221917839
32,"[1, 0, 1, 1, 0, 1, 1, 2, 0, 5, 2, 2]",random,-0.5307528873032068
33,"[0, 0, 0, 0, 1, 1, 2, 3, 3, 5, 2, 2]",random,-0.8827401832854525
34,"[1, 1, 0, 1, 0, 1, 2, 3, 4, 2, 0, 3]",random,-0.6822693640070588
35,"[0, 0, 0, 0, 1, 0, 1, 2, 1, 5, 3, 0]",random,-0.7078165922600009
36,"[1, 0, 1, 0, 0, 0, 2, 0, 3, 2, 2, 4]",random,-0.6501178546976932
37,"[1, 1, 1, 1, 0, 1, 1, 5, 4, 0, 5, 0]",random,-0.7412222988247161
38,"[0, 0, 1, 0, 1, 1, 2, 2, 3, 5, 2, 2]",random,-0.7281490962668383
39,"[1, 1, 1, 1, 1, 0, 5, 2, 5, 1, 1, 3]",random,-0.43329921398380505
40,"[0, 1, 0, 1, 0, 0, 5, 5, 5, 4, 1, 3]",random,-0.605643495484012
41,"[0, 0, 0, 1, 0, 1, 2, 5, 1, 1, 2, 1]",random,-0.9754280644488016
42,"[1, 1, 0, 1, 0, 0, 4, 4, 5, 4, 5, 3]",random,-1.0210329945011936
43,"[1, 0, 1, 1, 0, 1, 3, 2, 3, 4, 1, 2]",random,-0.9734375592288533
44,"[1, 1, 1, 1, 0, 1, 5, 0, 4, 4, 5, 4]",random,-0.6748983725462406
45,"[1, 0, 1, 1, 0, 0, 4, 3, 4, 2, 3, 1]",random,-0.7989818435327015
46,"[1, 0, 0, 0, 0, 0, 3, 4, 0, 0, 1, 0]",random,-0.13243548743377637
47,"[0, 0, 1, 1, 0, 1, 2, 5, 1, 2, 0, 4]",random,-0.7922046008556258
48,"[1, 1, 1, 1, 1, 1, 1, 3, 0, 2, 5, 3]",random,-0.9607275539802289
49,"[0, 0, 1, 1, 1, 0, 2, 2, 4, 1, 0, 1]",random,-0.42462058648215617
50,"[1, 0, 0, 0, 0, 0, 1, 3, 3, 1, 2, 3]",random,-0.7658089501457606
51,"[1, 1, 0, 0, 1, 0, 3, 0, 3, 2, 1, 2]",random,-1.0001432293527468
52,"[1, 1, 1, 0, 1, 0, 4, 4, 5, 4, 3, 2]",random,-0.8893140422835526
53,"[1, 0, 1, 1, 0, 0, 4, 3, 5, 2, 5, 3]",random,-1.1875131200360811
54,"[1, 0, 0, 1, 1, 1, 4, 0, 5, 0, 0, 1]",random,-1.1872347404922357
55,"[0, 1, 1, 0, 1, 1, 2, 3, 5, 5, 3, 3]",random,-0.1484942518990389
56,"[1, 0, 0, 1, 1, 1, 2, 4, 0, 0, 0, 4]",random,-1.2067407933229846
57,"[0, 1, 1, 1, 0, 1, 4, 5, 3, 2, 0, 4]",random,-0.8162436753339214
58,"[1, 0, 0, 0, 0, 0, 2, 0, 3, 4, 0, 4]",random,-0.6630480589308009
59,"[1, 0, 0, 1, 0, 1, 1, 2, 4, 4, 1, 2]",random,-0.6541821288679291
60,"[1, 0, 0, 1, 0, 0, 5, 5, 3, 1, 3, 1]",random,-0.7842990137562867
61,"[1, 1, 1, 0, 0, 0, 5, 2, 1, 4, 5, 3]",random,-0.2711656434731013
62,"[1, 0, 0, 0, 0, 0, 4, 3, 5, 0, 0, 1]",random,-0.6836031443292448
63,"[0, 0, 0, 0, 0, 0, 4, 3, 1, 2, 5, 1]",random,-1.1895215359309552
64,"[0, 1, 1, 1, 1, 1, 4, 0, 1, 2, 0, 4]",random,-0.8294286645258624
65,"[1, 1, 1, 1, 1, 1, 3, 3, 4, 2, 3, 2]",random,-0.7548266905656353
66,"[1, 1, 1, 1, 1, 0, 5, 5, 0, 1, 5, 3]",random,-0.8186208504054133
67,"[0, 1, 0, 1, 1, 0, 2, 4, 0, 2, 0, 0]",random,-0.5114501376159564
68,"[0, 0, 0, 1, 0, 1, 5, 2, 5, 4, 1, 4]",random,-0.8363108493994644
69,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 4, 0, 1]",random,-0.5685643010125716
70,"[0, 1, 1, 0, 1, 1, 3, 4, 1, 2, 1, 2]",random,-0.8532145155223467
71,"[1, 0, 0, 0, 1, 0, 2, 3, 0, 1, 3, 2]",random,-0.5560624989112759
72,"[1, 1, 0, 0, 0, 0, 5, 2, 3, 1, 0, 2]",random,-0.7765537530064875
73,"[0, 0, 0, 0, 1, 0, 1, 2, 5, 4, 2, 4]",random,-0.8462252752464378
74,"[0, 1, 1, 1, 1, 0, 3, 4, 4, 5, 0, 3]",random,-0.566145938784737
75,"[0, 1, 0, 1, 1, 1, 5, 5, 0, 2, 2, 4]",random,-0.7634661925651146
76,"[1, 1, 1, 1, 1, 0, 3, 5, 1, 0, 1, 0]",random,-0.5850521512420795
77,"[1, 0, 0, 0, 1, 0, 3, 4, 4, 4, 0, 3]",random,-1.2044513552633909
78,"[1, 1, 1, 1, 1, 0, 5, 4, 3, 2, 2, 0]",random,-1.200026090032376
79,"[1, 1, 0, 1, 1, 1, 2, 2, 4, 1, 5, 0]",random,-0.26489784750623124
80,"[1, 1, 0, 1, 1, 1, 5, 3, 4, 4, 2, 1]",random,-0.6903649882404875
81,"[1, 1, 1, 0, 1, 1, 5, 5, 0, 1, 2, 1]",random,-0.38266851901317867
82,"[1, 0, 0, 1, 0, 1, 1, 0, 4, 1, 0, 3]",random,-0.3726377365343656
83,"[1, 0, 1, 0, 0, 0, 3, 5, 5, 1, 0, 3]",random,-1.0177464435740553
84,"[0, 0, 0, 0, 0, 1, 4, 5, 4, 1, 2, 0]",random,-0.22569065039928024
85,"[0, 1, 1, 1, 0, 1, 5, 5, 5, 0, 3, 2]",random,-1.1325877645494884
86,"[1, 0, 0, 1, 0, 1, 5, 4, 5, 5, 1, 4]",random,-0.9399410417956398
87,"[0, 1, 1, 0, 0, 0, 1, 2, 4, 2, 0, 3]",random,-0.6105496521974033
88,"[1, 1, 1, 1, 1, 0, 5, 0, 5, 1, 2, 2]",random,-1.0939005242821758
89,"[0, 0, 0, 0, 1, 0, 5, 5, 5, 1, 2, 2]",random,-1.0287635603842702
90,"[1, 1, 0, 0, 0, 0, 4, 4, 4, 4, 2, 2]",random,-1.1977602984265743
91,"[1, 0, 1, 1, 0, 1, 5, 5, 5, 2, 5, 1]",random,-1.220726589233239
92,"[1, 1, 0, 0, 0, 1, 4, 2, 3, 5, 2, 3]",random,-1.1526252080229586
93,"[1, 0, 1, 0, 0, 0, 5, 5, 5, 2, 2, 1]",random,-0.6453989100677807
94,"[1, 1, 0, 0, 1, 0, 1, 4, 1, 4, 3, 4]",random,-0.8746071870072948
95,"[0, 1, 1, 0, 0, 1, 4, 4, 5, 1, 3, 0]",random,-1.0534711510026615
96,"[1, 0, 1, 1, 1, 0, 5, 5, 1, 4, 2, 4]",random,-0.8974029065254163
97,"[0, 0, 1, 0, 1, 1, 4, 0, 4, 2, 3, 4]",random,-1.1877512116071085
98,"[1, 0, 0, 1, 1, 0, 1, 2, 3, 5, 0, 0]",random,-0.39050147697227805
99,"[1, 0, 1, 1, 1, 1, 1, 2, 0, 5, 2, 2]",random,-0.9662527661876212
100,"[0, 0, 1, 1, 0, 1, 3, 2, 4, 5, 0, 1]",random,-0.7551001540924049
101,"[1, 1, 0, 0, 0, 0, 3, 0, 1, 1, 5, 1]",random,-0.3850449249709317
102,"[0, 0, 1, 1, 0, 1, 4, 4, 3, 5, 0, 3]",random,-0.916112621848896
103,"[0, 0, 1, 1, 1, 1, 1, 4, 1, 0, 2, 0]",random,-1.2306285777423842
104,"[0, 1, 1, 0, 0, 1, 3, 5, 0, 2, 3, 1]",random,-0.5133967297020657
105,"[0, 1, 0, 1, 1, 1, 1, 4, 5, 2, 1, 2]",random,-0.7969540727347885
106,"[0, 0, 1, 1, 0, 1, 2, 0, 1, 2, 5, 0]",random,-0.8059993576061038
107,"[0, 1, 1, 0, 0, 1, 4, 4, 0, 0, 3, 3]",random,-0.795412506902754
108,"[1, 1, 1, 0, 0, 0, 1, 4, 3, 5, 3, 0]",random,-0.7088842236421297
109,"[0, 1, 1, 0, 0, 1, 5, 3, 3, 4, 2, 2]",random,-0.955220196409965
110,"[1, 0, 1, 1, 1, 1, 4, 4, 0, 4, 0, 4]",random,-0.38305595437856005
111,"[0, 0, 0, 1, 0, 0, 4, 5, 4, 0, 5, 1]",random,-0.599766653008522
112,"[0, 0, 1, 0, 1, 0, 5, 5, 1, 0, 5, 4]",random,-0.7404522406102885
113,"[1, 1, 0, 1, 0, 1, 3, 3, 5, 2, 2, 2]",random,-0.7008984586283936
114,"[0, 1, 0, 0, 1, 0, 1, 3, 0, 2, 1, 3]",random,-0.7459460456438283
115,"[1, 1, 0, 0, 1, 1, 5, 5, 4, 0, 5, 0]",random,-0.33940534512024045
116,"[0, 0, 1, 0, 0, 1, 1, 3, 4, 2, 2, 1]",random,-0.4723169979510133
117,"[0, 1, 1, 1, 0, 1, 2, 5, 4, 5, 5, 3]",random,-0.738251939738459
118,"[0, 1, 0, 0, 0, 1, 3, 3, 3, 0, 2, 4]",random,-0.6262871720075752
119,"[1, 1, 1, 0, 1, 1, 2, 2, 4, 5, 0, 2]",random,-0.7197970350305538
120,"[0, 0, 1, 1, 0, 0, 2, 3, 0, 2, 5, 2]",random,-1.1594502758024468
121,"[1, 0, 1, 0, 1, 1, 2, 3, 3, 2, 2, 1]",random,-0.8732771599125854
122,"[1, 0, 0, 0, 0, 1, 2, 3, 5, 4, 2, 1]",random,-0.5906069516076139
123,"[0, 0, 0, 1, 0, 0, 3, 5, 4, 2, 0, 2]",random,-0.07796302691784347
124,"[0, 0, 0, 1, 1, 1, 5, 2, 3, 5, 0, 2]",random,-0.5454580456215593
125,"[0, 1, 1, 0, 1, 0, 4, 0, 1, 0, 1, 0]",random,-0.6913846694226312
126,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 3]",random,-0.5437360902129639
127,"[0, 1, 0, 0, 1, 0, 4, 2, 0, 2, 2, 2]",random,-0.5426228948241765
128,"[0, 1, 1, 0, 0, 0, 4, 4, 4, 5, 2, 0]",random,-1.0255587738562821
129,"[0, 1, 1, 1, 1, 0, 1, 2, 5, 0, 1, 1]",random,-0.7213436367776274
130,"[0, 1, 1, 1, 0, 1, 3, 4, 3, 1, 1, 1]",random,-0.0023235236683892325
131,"[1, 0, 0, 0, 1, 1, 3, 2, 1, 5, 3, 4]",random,-0.696676867083846
132,"[0, 1, 0, 1, 0, 0, 5, 0, 4, 4, 5, 4]",random,-0.8339539769475748
133,"[0, 1, 1, 0, 1, 0, 4, 2, 4, 1, 3, 3]",random,-0.512933580033274
134,"[0, 0, 1, 1, 1, 0, 2, 3, 1, 5, 5, 1]",random,-0.7997909393874533
135,"[1, 1, 0, 1, 1, 0, 5, 2, 3, 1, 0, 0]",random,-0.4331865926444133
136,"[1, 1, 0, 1, 0, 0, 2, 3, 4, 4, 0, 1]",random,-1.2240840907629051
137,"[0, 1, 1, 1, 0, 1, 2, 2, 1, 5, 2, 0]",random,-0.34177431339908454
138,"[1, 1, 1, 0, 1, 0, 2, 5, 3, 2, 5, 3]",random,-0.7973450156397854
139,"[0, 0, 0, 0, 0, 0, 1, 3, 5, 1, 1, 0]",random,-1.2429152808265038
140,"[0, 1, 0, 1, 0, 1, 5, 4, 4, 1, 1, 0]",random,-0.9374342643371939
141,"[0, 0, 0, 0, 0, 1, 1, 2, 5, 2, 2, 1]",random,-1.2330764485396695
142,"[0, 0, 1, 1, 1, 0, 5, 0, 1, 1, 5, 0]",random,-1.280520595404371
143,"[1, 1, 0, 1, 0, 0, 1, 4, 4, 4, 1, 3]",random,-1.2086156806799235
144,"[1, 1, 0, 1, 0, 0, 1, 5, 5, 1, 2, 1]",random,0.017766429503023543
145,"[0, 0, 0, 1, 0, 1, 1, 2, 4, 0, 3, 3]",random,-0.4666548360972421
146,"[1, 1, 0, 0, 0, 0, 3, 4, 0, 0, 1, 2]",random,-0.6168084455001336
147,"[1, 0, 0, 0, 0, 1, 3, 5, 5, 0, 2, 4]",random,0.0682236192605197
148,"[1, 1, 1, 1, 0, 0, 5, 3, 3, 4, 0, 0]",random,-0.6454689775033413
